"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 10 13:17:05 IST 2025","Sun Aug 10 13:17:11 IST 2025","5783","chromium","AddToCart.spec.ts","","","","Add product to cart test @master @regression",""
"passed","Sun Aug 10 13:17:12 IST 2025","Sun Aug 10 13:17:18 IST 2025","5795","chromium","Logout.spec.ts","","","","User logout test @master @regression",""
"passed","Sun Aug 10 08:44:53 IST 2025","Sun Aug 10 08:44:55 IST 2025","1650","chromium","LoginDataDriven.spec.ts","","","","Login Test with CSV Data: Invalid login @datadriven",""
"passed","Sun Aug 10 13:17:33 IST 2025","Sun Aug 10 13:17:41 IST 2025","7897","chromium","EndToEnd.spec.ts","","","","execute end-to-end test flow @end-to-end",""
"passed","Sat Aug 09 15:38:52 IST 2025","Sat Aug 09 15:38:57 IST 2025","5819","chromium","AccountRegistration.spec.ts","","","","User registration test",""
"passed","Sat Aug 09 16:23:03 IST 2025","Sat Aug 09 16:23:08 IST 2025","5706","chromium","Login.spec.ts","","","","user login test",""
"passed","Sun Aug 10 08:44:50 IST 2025","Sun Aug 10 08:44:53 IST 2025","2508","chromium","LoginDataDriven.spec.ts","","","","Login Test with JSON Data: Valid login @datadriven",""
"passed","Sun Aug 10 08:44:50 IST 2025","Sun Aug 10 08:44:53 IST 2025","2623","chromium","LoginDataDriven.spec.ts","","","","Login Test with JSON Data: Invalid login @datadriven",""
"passed","Sun Aug 10 13:17:17 IST 2025","Sun Aug 10 13:17:22 IST 2025","4731","chromium","SearchProduct.spec.ts","","","","Product search test @master @regression",""
"passed","Sun Aug 10 17:09:12 IST 2025","Sun Aug 10 17:09:17 IST 2025","5732","chromium","AccountRegistration.spec.ts","","","","User registration test @master @sanity @regression",""
"passed","Sun Aug 10 08:44:53 IST 2025","Sun Aug 10 08:44:55 IST 2025","2191","chromium","LoginDataDriven.spec.ts","","","","Login Test with CSV Data: Valid login @datadriven",""
"passed","Sun Aug 10 17:09:12 IST 2025","Sun Aug 10 17:09:18 IST 2025","6253","chromium","Login.spec.ts","","","","user login test @master @sanity @regression",""
